dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
wine,harmonic-spectral-clustering,0.6477528089887641,25,3,0.1,(0.5979863437709491, 0.6975192742065791)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,0.5,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,1,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,2,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,3,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,4,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,5,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,10,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,11,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,12,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,13,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,14,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,15,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,16,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,17,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,18,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,19,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,20,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,50,(nan, nan)
wine,harmonic-spectral-clustering,0.7191011235955056,25,3,100,(nan, nan)
wine,harmonic-spectral-clustering,0.7174157303370787,50,3,0.1,(0.6998416765097699, 0.7349897841643875)
wine,harmonic-spectral-clustering,0.7241573033707865,50,3,0.5,(0.7201608337095421, 0.728153773032031)
wine,harmonic-spectral-clustering,0.7325842696629215,50,3,1,(0.7305089397877538, 0.7346595995380891)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,2,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,3,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,4,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,5,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,10,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,11,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,12,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,13,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,14,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,15,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,16,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,17,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,18,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,19,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,20,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,50,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.7247191011235954,50,3,100,(0.7247191011235953, 0.7247191011235955)
wine,harmonic-spectral-clustering,0.6876404494382021,75,3,0.1,(0.6476667730039138, 0.7276141258724904)
wine,harmonic-spectral-clustering,0.6960674157303371,75,3,0.5,(0.681216355530321, 0.7109184759303533)
wine,harmonic-spectral-clustering,0.698876404494382,75,3,1,(0.6871671782793001, 0.710585630709464)
wine,harmonic-spectral-clustering,0.6977528089887641,75,3,2,(0.6931902287861424, 0.7023153891913858)
wine,harmonic-spectral-clustering,0.702247191011236,75,3,3,(0.6965636660767676, 0.7079307159457044)
wine,harmonic-spectral-clustering,0.698876404494382,75,3,4,(0.6937929052522674, 0.7039599037364966)
wine,harmonic-spectral-clustering,0.7033707865168539,75,3,5,(0.6992201267665187, 0.7075214462671892)
